	Somatic Mutation Type	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11	Substitution Type
0	AC>CA	4.9700000000000015e-05	0.000374	0.00635	0.00414	0.00214	0.00266	0.0459	0.215	0.0246	0.00963	0.00137	AC>CA
1	AC>CG	2.64e-05	3.17e-05	4.650000000000001e-05	4.96e-05	0.000462	0.000146	0.00625	0.000973	0.00207	1.77e-05	0.000194	AC>CG
2	AC>CT	0.00429	0.000126	0.00302	8.319999999999999e-18	0.00202	0.00024	0.0136	0.318	0.0285	0.0135	0.0007559999999999999	AC>CT
3	AC>GA	0.000127	0.000237	0.00585	0.0044	0.000558	0.008579999999999999	0.00973	0.00116	0.0253	0.00535	0.000442	AC>GA
4	AC>GG	5.710000000000001e-05	4.17e-18	0.00045	7.009999999999999e-18	1.11e-17	0.000104	0.00254	0.00081	0.00713	0.00059	0.00225	AC>GG
5	AC>GT	0.00296	0.00028	0.0101	1.12e-08	0.000822	0.000132	0.0045	0.000151	0.0121	0.0287	0.00571	AC>GT
6	AC>TA	0.0012	0.00148	0.00101	0.00127	0.00148	0.0101	0.00542	0.0124	0.0412	0.000105	0.000264	AC>TA
7	AC>TG	0.000172	6.36e-06	1.11e-17	5.31e-05	0.00112	0.000449	0.000998	0.00257	0.0179	7.66e-06	0.000239	AC>TG
8	AC>TT	0.0265	0.00292	1.78e-06	0.000161	0.00747	0.00318	0.00118	0.000268	0.0444	0.0007099999999999999	0.00282	AC>TT
9	AT>CA	0.000482	3.78e-05	0.00704	0.000916	0.000108	0.000114	0.0111	2.78e-05	0.0127	0.00353	0.00948	AT>CA
10	AT>CC	0.000297	4.17e-18	0.00908	7.000000000000001e-18	2.13e-05	6.39e-05	0.00626	0.000143	0.00178	0.00116	0.0019	AT>CC
11	AT>CG	3.98e-06	4.17e-18	0.0146	9.46e-18	1.05e-17	1.82e-06	0.00111	0.000266	9.22e-18	0.00259	1.74e-05	AT>CG
12	AT>GA	0.00212	0.000168	0.00181	0.000324	0.00111	0.00162	0.0144	0.000162	0.006370000000000001	8.06e-05	0.0112	AT>GA
13	AT>GC	0.000174	5.85e-06	0.00525	1.76e-05	1.05e-17	1.7199999999999998e-05	0.00929	0.000226	0.00181	0.004079999999999999	0.00418	AT>GC
14	AT>TA	0.00234	0.000458	0.00235	0.004529999999999999	0.000793	0.0022	0.034	0.000315	0.0092	0.00293	0.00384	AT>TA
15	CC>AA	1.06e-05	0.7240000000000001	0.00909	7.000000000000001e-18	1.05e-17	8.3e-18	9.04e-18	0.0381	9.02e-18	0.0137	7.35e-18	CC>AA
16	CC>AG	1.23e-05	0.0726	1.11e-17	0.00543	0.0243	0.0616	8.3e-05	0.0155	0.0264	7.13e-05	0.000972	CC>AG
17	CC>AT	0.0187	0.1	0.00589	0.0157	0.00243	0.000438	0.000852	0.0288	0.0195	0.0105	0.0345	CC>AT
18	CC>GA	0.000134	0.0177	0.0006349999999999999	0.00355	6.759999999999999e-05	0.0355	0.000302	0.0008089999999999999	0.011000000000000001	0.00339	0.000953	CC>GA
19	CC>GG	9.82e-05	0.00045	7.25e-05	7.3e-05	1.19e-05	0.0181	0.00205	5.600000000000001e-05	0.00306	7.41e-18	0.00345	CC>GG
20	CC>GT	0.00692	0.0011	1.14e-17	7.99e-05	2.48e-05	0.00344	0.00016299999999999998	0.000229	0.0179	0.00108	0.0695	CC>GT
21	CC>TA	0.0104	0.016	0.0208	0.00017	0.00127	0.00222	9.04e-18	0.0007160000000000001	0.000687	0.0239	0.0588	CC>TA
22	CC>TG	0.00255	0.000237	2.9e-05	8.3e-06	0.00481	0.00687	0.000236	0.00421	0.0155	7.41e-18	0.0323	CC>TG
23	CC>TT	0.858	4.17e-18	1.11e-17	7.000000000000001e-18	1.05e-17	8.3e-18	9.04e-18	0.004379999999999999	9.02e-18	0.0206	0.332	CC>TT
24	CG>AT	6.03e-07	0.00115	0.000284	0.00029	0.00164	0.0075400000000000016	6.21e-05	0.000322	0.000219	7.41e-18	0.00182	CG>AT
25	CG>GC	5.42e-06	0.000369	1.11e-17	5.0999999999999995e-06	9.92e-05	0.00059	0.000187	1.13e-17	1.2e-05	1.9e-05	0.000166	CG>GC
26	CG>GT	1.7e-06	0.00128	1.11e-17	7.000000000000001e-18	0.00648	0.00322	2.07e-05	0.00121	9.940000000000003e-05	1.02e-05	0.00118	CG>GT
27	CG>TA	0.000356	4.17e-18	0.0979	7.000000000000001e-18	1.05e-17	8.3e-18	9.04e-18	0.0005059999999999999	9.02e-18	0.358	7.380000000000001e-18	CG>TA
28	CG>TC	1.26e-05	0.00215	0.000722	7.000000000000001e-18	2.98e-05	0.00891	4.870000000000001e-05	0.000905	0.000133	0.00265	0.000685	CG>TC
29	CG>TT	0.000124	0.00556	0.00717	0.000361	0.00222	0.0187	3.13e-05	0.00032900000000000003	8.290000000000001e-05	0.00777	0.000699	CG>TT
30	CT>AA	2.77e-05	0.00321	0.000103	7.000000000000001e-18	0.466	0.00448	9.04e-18	0.0206	9.02e-18	0.00393	0.0044	CT>AA
31	CT>AC	0.0004190000000000001	4.17e-18	0.0291	7.000000000000001e-18	0.209	0.00195	1.01e-17	0.013999999999999999	9.02e-18	0.013000000000000001	0.00235	CT>AC
32	CT>AG	2.85e-18	0.000587	0.114	0.000363	0.0267	0.0395	0.00126	0.0204	0.000582	0.0265	0.000496	CT>AG
33	CT>GA	8.92e-05	1.8100000000000006e-05	1.7199999999999998e-05	0.0006730000000000001	0.0161	0.00734	0.00187	0.00557	0.00284	7.41e-18	0.0116	CT>GA
34	CT>GC	0.000252	0.000134	2.69e-05	7.219999999999999e-05	0.00485	0.00179	0.0156	0.000237	0.0031100000000000004	7.41e-18	0.00611	CT>GC
35	CT>GG	1.0800000000000003e-05	8.98e-05	5.99e-05	0.000926	0.00057	0.006809999999999999	0.004	0.000306	0.0104	7.41e-18	0.00402	CT>GG
36	CT>TA	0.007809999999999998	0.00338	0.000184	7.000000000000001e-18	0.00334	8.840000000000001e-05	9.04e-18	0.0109	9.02e-18	0.00403	0.0417	CT>TA
37	CT>TC	0.0105	3.84e-05	0.00634	7.000000000000001e-18	0.000237	8.3e-18	0.0632	0.0178	3e-05	0.00275	0.00299	CT>TC
38	CT>TG	0.00224	0.00039	0.0522	3.08e-05	0.000874	0.0112	9.04e-18	0.000966	9.46e-18	0.0457	0.00148	CT>TG
39	GC>AA	0.00158	0.00508	2.1600000000000007e-05	0.328	0.000133	8.3e-18	9.04e-18	0.0129	9.02e-18	0.004079999999999999	0.001	GC>AA
40	GC>AG	0.000107	0.000325	0.000522	0.0113	0.00266	0.00366	7.3e-05	0.00852	0.124	7.41e-18	0.00329	GC>AG
41	GC>AT	4.870000000000001e-05	0.000953	0.00399	0.00924	0.00157	0.00188	0.00035	0.00551	0.126	0.00775	0.0272	GC>AT
42	GC>CA	5.76e-05	0.00106	0.000237	0.0119	0.00458	0.00869	0.00067	0.00483	0.0274	0.000105	0.0021100000000000003	GC>CA
43	GC>CG	5.15e-06	6.69e-05	1.11e-17	9.83e-07	0.000323	9.04e-18	0.00265	0.000242	0.0025	7.41e-18	0.00404	GC>CG
44	GC>TA	8.27e-07	0.000736	0.004229999999999999	0.0177	0.00022200000000000006	0.0008289999999999999	6.24e-06	0.00856	0.013999999999999999	0.00281	0.000243	GC>TA
45	TA>AT	0.000505	0.00275	0.00145	0.0304	0.00187	0.00857	0.0558	0.0097	0.0155	0.0104	0.00223	TA>AT
46	TA>CG	7.55e-06	1.89e-05	0.00334	0.000389	7.89e-06	0.000259	0.00305	2.09e-05	0.00135	0.00411	0.000584	TA>CG
47	TA>CT	0.0007019999999999999	0.00028	0.000344	0.00872	0.00227	0.0261	0.0291	0.0041	0.0142	0.00162	0.00338	TA>CT
48	TA>GC	2.01e-05	8.22e-05	0.00199	7.020000000000001e-05	5.22e-05	0.000264	0.00151	0.000789	0.000579	7.41e-18	0.00102	TA>GC
49	TA>GG	7.03e-05	7.890000000000001e-05	0.00546	0.00222	0.0016300000000000002	0.000218	0.0043100000000000005	0.000217	0.00325	0.00859	0.000375	TA>GG
50	TA>GT	0.00115	0.0013	0.000362	0.00806	0.00191	6.25e-05	0.0263	0.000153	0.00778	0.00361	0.00267	TA>GT
51	TC>AA	1.09e-05	0.00145	0.00549	0.379	0.0404	0.0458	0.0196	0.0388	0.00369	0.007559999999999998	0.000217	TC>AA
52	TC>AG	3.09e-06	0.0002	6.14e-06	0.00187	0.0149	0.00828	4e-06	0.0116	0.0467	0.000271	0.0474	TC>AG
53	TC>AT	0.00246	4.17e-18	0.00112	0.008409999999999999	0.0007480000000000001	0.000594	0.00229	0.0185	0.0518	0.00309	0.0846	TC>AT
54	TC>CA	4.42e-06	0.000682	0.0655	0.0846	0.00143	0.0118	0.00271	0.0176	0.0488	0.0252	0.000282	TC>CA
55	TC>CG	3.3e-05	3.89e-06	0.000116	0.0004	1.0599999999999999e-17	0.0008619999999999999	0.0016300000000000002	0.0109	0.007790000000000002	0.000842	0.00324	TC>CG
56	TC>CT	0.0019	0.00335	0.0194	8.28e-06	0.00105	0.00939	0.00919	0.008759999999999999	0.0514	0.0262	0.0201	TC>CT
57	TC>GA	6.42e-05	0.0008849999999999998	0.0778	0.0364	2.46e-05	0.00734	9.04e-18	0.00961	0.0173	0.0438	0.000235	TC>GA
58	TC>GG	0.000411	9.87e-06	0.000177	1.04e-05	3.48e-05	0.00151	0.0007059999999999999	0.00191	0.00373	7.41e-18	0.00733	TC>GG
59	TC>GT	0.0051	8.57e-05	0.0434	7.000000000000001e-18	3.86e-05	8.3e-18	9.04e-18	0.000276	9.15e-18	0.0459	0.0152	TC>GT
60	TG>AA	0.00137	0.00296	6.68e-05	0.00763	0.018000000000000002	0.0255	0.0226	0.00865	0.0158	0.0014199999999999998	0.00783	TG>AA
61	TG>AC	0.000237	0.00022	8.04e-05	0.000118	0.00146	0.0101	0.00262	0.00385	0.00727	0.000207	0.000866	TG>AC
62	TG>AT	0.00241	0.00429	0.000958	7.000000000000001e-18	0.0204	0.221	0.00129	0.00822	0.000746	0.0025	0.0105	TG>AT
63	TG>CA	0.000279	0.000144	0.0159	0.0008039999999999999	0.000476	0.0114	0.0239	0.00506	0.0228	0.0292	0.0561	TG>CA
64	TG>CC	0.000103	5.94e-05	0.000484	0.00012	0.0005059999999999999	0.007890000000000001	0.00105	0.00125	0.0118	0.00019	0.00313	TG>CC
65	TG>CT	0.00185	0.00307	0.00607	8.209999999999999e-05	0.000328	0.275	9.04e-18	0.0195	0.000968	0.00433	0.00558	TG>CT
66	TG>GA	0.000407	0.00147	0.000523	0.00785	0.0032700000000000003	0.00744	0.00825	0.000271	0.00618	2.02e-05	0.00731	TG>GA
67	TG>GC	8.89e-05	0.000272	0.0004980000000000001	0.000604	0.000292	0.0056	0.00388	0.00354	0.00391	7.41e-18	0.00612	TG>GC
68	TG>GT	0.0019	0.0064	0.0103	3.2299999999999986e-05	0.0827	0.0274	0.008709999999999999	0.007859999999999999	0.00334	0.00217	0.00524	TG>GT
69	TT>AA	0.00549	0.0043100000000000005	0.00322	1.8e-05	0.00492	0.000193	0.235	0.00358	0.000341	0.0145	0.00477	TT>AA
70	TT>AC	0.00072	0.00034500000000000004	0.00243	6.6e-07	0.000966	0.000128	0.04	1.13e-17	0.006659999999999999	7.41e-18	0.00104	TT>AC
71	TT>AG	0.000418	0.000215	0.0229	7.000000000000001e-18	0.000893	0.00212	0.0539	0.0146	0.000918	0.006959999999999999	0.00127	TT>AG
72	TT>CA	0.000725	4.17e-18	0.0006940000000000001	7.000000000000001e-18	1.05e-17	8.3e-18	0.0977	0.00629	9.03e-18	0.00129	0.00202	TT>CA
73	TT>CC	0.00542	2.98e-06	0.008159999999999999	7.000000000000001e-18	0.000773	8.3e-18	0.0354	0.000294	0.0051600000000000005	0.00288	0.004	TT>CC
74	TT>CG	8.379999999999999e-05	1.52e-05	0.0318	7.249999999999998e-18	1.05e-17	1.12e-05	0.00267	0.000116	1.98e-05	0.008579999999999999	9.96e-18	TT>CG
75	TT>GA	0.00186	4.79e-05	0.0123	7.000000000000001e-18	2.99e-05	8.3e-18	0.0436	0.00363	9.17e-18	0.00869	0.0007070000000000001	TT>GA
76	TT>GC	0.00106	1.54e-06	0.0665	7.000000000000001e-18	5.6600000000000014e-05	4.09e-07	0.00367	0.000286	3.5600000000000005e-05	0.0258	5.78e-06	TT>GC
77	TT>GG	0.00161	4.17e-18	0.171	7.000000000000001e-18	1.05e-17	8.3e-18	9.04e-18	0.000538	9.02e-18	0.0847	7.340000000000001e-18	TT>GG
